"DateTime";"Desktop Users";"Mobile Users";"Total"
"2025-08-01 00:00:00";41551;33066;74616
"2025-08-02 00:00:00";41560;33041;74601
"2025-08-03 00:00:00";44150;30513;74663
"2025-08-04 00:00:00";37654;33207;70861
"2025-08-05 00:00:00";36112;27135;63247
"2025-08-06 00:00:00";34882;31733;66555
"2025-08-07 00:00:00";34668;31311;65979
"2025-08-08 00:00:00";36369;32579;68948
"2025-08-09 00:00:00";38960;33066;72026
"2025-08-10 00:00:00";40854;30981;71835
"2025-08-11 00:00:00";39708;31106;70815
"2025-08-12 00:00:00";34373;24787;59160
"2025-08-13 00:00:00";34483;28047;62530
"2025-08-14 00:00:00";35794;28377;64171
"2025-08-15 00:00:00";37111;33515;70626
"2025-08-16 00:00:00";39487;27524;67011
"2025-08-17 00:00:00";40775;26902;67677
"2025-08-18 00:00:00";37363;28488;65851
"2025-08-19 00:00:00";35069;25116;60185
"2025-08-20 00:00:00";36356;27875;64231
"2025-08-21 00:00:00";34902;26327;61229
"2025-08-22 00:00:00";35288;28804;64091
"2025-08-23 00:00:00";41803;27029;68832
"2025-08-24 00:00:00";42393;27113;69506
"2025-08-25 00:00:00";35180;29792;64972
"2025-08-26 00:00:00";34692;24364;59057
"2025-08-27 00:00:00";36605;26595;63200
"2025-08-28 00:00:00";35027;26727;61755
"2025-08-29 00:00:00";37038;34770;71808
"2025-08-30 00:00:00";40732;29063;69795
"2025-08-31 00:00:00";36981;25214;62195
"2025-09-01 00:00:00";35470;28120;63590
"2025-09-02 00:00:00";32238;23495;55733
"2025-09-03 00:00:00";32370;26813;59183
"2025-09-04 00:00:00";27956;24766;52723
"2025-09-05 00:00:00";31568;32302;63871
"2025-09-06 00:00:00";35015;25917;60932
"2025-09-07 00:00:00";32467;27137;59604
"2025-09-08 00:00:00";31012;26321;57333
"2025-09-09 00:00:00";30454;24949;55403
"2025-09-10 00:00:00";33109;30633;63741
"2025-09-11 00:00:00";32779;25701;58480
"2025-09-12 00:00:00";32471;28989;61460
"2025-09-13 00:00:00";31826;25469;57296
"2025-09-14 00:00:00";31849;25140;56990
"2025-09-15 00:00:00";29423;26150;55573
"2025-09-16 00:00:00";27928;23428;51356
"2025-09-17 00:00:00";26424;25558;51982
"2025-09-18 00:00:00";24003;22661;46664
"2025-09-19 00:00:00";26299;28596;54894
"2025-09-20 00:00:00";29374;24660;54035
"2025-09-21 00:00:00";27521;24754;52275
"2025-09-22 00:00:00";26274;23332;49605
"2025-09-23 00:00:00";23720;20601;44321
"2025-09-24 00:00:00";25101;24525;49627
"2025-09-25 00:00:00";26581;20922;47503
"2025-09-26 00:00:00";24477;26077;50554
"2025-09-27 00:00:00";32097;24607;56703
"2025-09-28 00:00:00";33091;23501;56592
"2025-09-29 00:00:00";28722;22000;50722
"2025-09-30 00:00:00";30415;21355;51771
"2025-10-01 00:00:00";29504;24112;53617
"2025-10-02 00:00:00";28368;18809;47177
"2025-10-03 00:00:00";28127;24923;53051
"2025-10-04 00:00:00";33151;21590;54742
"2025-10-05 00:00:00";30305;25009;55314
"2025-10-06 00:00:00";26492;24313;50804
"2025-10-07 00:00:00";26379;20668;47047
"2025-10-08 00:00:00";27742;23458;51201
"2025-10-09 00:00:00";24703;21895;46598
"2025-10-10 00:00:00";26410;23569;49979
"2025-10-11 00:00:00";27024;22960;49984
"2025-10-12 00:00:00";28055;20828;48883
"2025-10-13 00:00:00";26042;20904;46946
"2025-10-14 00:00:00";24280;19129;43409
"2025-10-15 00:00:00";29463;23994;53457
"2025-10-16 00:00:00";32245;24603;56847
"2025-10-17 00:00:00";35723;29443;65166
"2025-10-18 00:00:00";42819;26335;69154
"2025-10-19 00:00:00";38741;25570;64311
"2025-10-20 00:00:00";34567;27395;61962
"2025-10-21 00:00:00";33083;23922;57005
"2025-10-22 00:00:00";34152;28318;62470
"2025-10-23 00:00:00";33648;27731;61379
"2025-10-24 00:00:00";34788;30453;65241
"2025-10-25 00:00:00";35190;25769;60960
"2025-10-26 00:00:00";36207;25203;61410
"2025-10-27 00:00:00";33575;32510;66085
"2025-10-28 00:00:00";28629;22024;50654
"2025-10-29 00:00:00";31750;31008;62759
"2025-10-30 00:00:00";30916;28737;59653
"2025-10-31 00:00:00";31205;34139;65344